"CUADRO 1.2 COSTA RICA: JUNTAS, ELECTORADO, PARTICIPACIÓN, VOTOS POR PARTIDO, NULOS, BLANCOS Y ABSTENCIONISMO PARA PRESIDENCIA
Y VICEPRESIDENCIAS DE LA REPÚBLICA, SEGÚN  PROVINCIA Y CANTÓN
 ELECCIONES 7 DE FEBRERO 2010",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PROVINCIA Y CANTÓN,JUNTAS,ELECTORADO,VOTOS RECIBIDOS,,,,,,,,,,,,,,ABSTENCIONISMO,
,,,TOTAL GENERAL,"%
PARTICIPACIÓN",VOTOS VÁLIDOS,,,,,,,,,,NULOS,BLANCOS,ABSOLUTO,%
,,,,,TOTAL,UNIDAD SOCIAL CRISTIANA,INTEGRACIÓN NACIONAL,"ALIANZA
PATRIÓTICA",RENOVACIÓN COSTARRICENSE,FRENTE AMPLIO,LIBERACIÓN NACIONAL,MOVIMIENTO LIBERTARIO,"ACCIÓN
CIUDADANA",ACCESIBILIDAD SIN EXCLUSIÓN,,,,
,,,,,,,,,,,,,,,,,,
COSTA RICA,6617,2822491,1950847,69.11791747,1911333,74114,2049,3158,13945,6782,896516,399788,478877,36104,32555,6959,871644,30.88208253
,,,,,,,,,,,,,,,,,,
PROVINCIA SAN JOSÉ,2232,1008177,704284,69.85717786,692765,24609,970,870,3852,2536,322976,122116,200382,14454,9674,1845,303893,30.14282214
,,,,,,,,,,,,,,,,,,
SAN JOSÉ,469,226027,153333,67.83835559,151017,6436,179,164,941,618,70913,27690,40882,3194,2023,293,72694,32.16164441
ESCAZÚ,82,39855,28967,72.68096851,28571,688,21,31,115,92,14627,5979,6427,591,345,51,10888,27.31903149
DESAMPARADOS,308,143636,99995,69.6169484,98265,3711,202,123,543,337,45760,18539,26706,2344,1532,198,43641,30.3830516
PURISCAL,70,24260,17626,72.65457543,17319,640,11,36,64,40,9127,3067,4086,248,213,94,6634,27.34542457
TARRAZÚ,28,10376,6954,67.02004626,6782,351,17,14,30,17,3263,1266,1737,87,122,50,3422,32.97995374
ASERRÍ,86,36900,25385,68.79403794,24852,945,78,24,122,113,11430,4977,6560,603,425,108,11515,31.20596206
MORA,43,17043,12351,72.46963563,12053,488,7,19,78,37,5815,2551,2810,248,234,64,4692,27.53036437
GOICOECHEA,179,85706,59764,69.73140737,58891,1945,142,58,401,306,25171,10512,19077,1279,768,105,25942,30.26859263
SANTA ANA,58,27313,19968,73.10804379,19665,761,14,22,131,59,9605,4214,4494,365,232,71,7345,26.89195621
ALAJUELITA,93,44270,29153,65.85272193,28592,1294,25,36,214,107,12914,6801,6201,1000,484,77,15117,34.14727807
VÁZQUEZ DE CORONADO,91,44773,33084,73.89274786,32642,1088,45,51,178,143,14375,5578,10452,732,382,60,11689,26.10725214
ACOSTA,44,14081,10028,71.21653292,9786,360,13,36,54,16,4569,1849,2707,182,174,68,4053,28.78346708
TIBÁS,115,55673,39545,71.0308408,39027,1379,38,39,218,130,17778,6956,11740,749,440,78,16128,28.9691592
MORAVIA,83,39778,29174,73.34204837,28821,836,35,47,153,102,13403,4259,9500,486,302,51,10604,26.65795163
